○ 통계표명 :,전국 및 시도별 치매유병현황,,,,,,
○ 수록기간 :,년 2015 ~ 2065,,,,,,
○ 출처1 :,치매유병현황: 중앙치매센터,,,,,,
○ 출처2 :,"노인인구수: 통계청(주민인구연앙인구, 2015-2018)
통계청(장래인구추계, 2019-2065)",,,,,,
○ 자료다운일자 :,2019-12-02 14:32,,,,,,
○ 통계표URL :,https://www.nid.or.kr/info/ub_2019.aspx?no=43406,,,,,,
2017,서울특별시,노원구,전체,65~69세,"23,469",323,1.37%
2017,서울특별시,노원구,전체,70~74세,"18,123",692,3.82%
2017,서울특별시,노원구,전체,75~79세,"14,865","1,772",11.92%
2017,서울특별시,노원구,전체,80~84세,"8,783","1,858",21.15%
2017,서울특별시,노원구,전체,85세이상,"5,904","2,282",38.66%
2017,서울특별시,노원구,전체,60세이상,"105,429","7,131",6.76%
2017,서울특별시,노원구,전체,65세이상,"71,144","6,927",9.74%
2017,서울특별시,은평구,전체,65~69세,"23,374",320,1.37%
2017,서울특별시,은평구,전체,70~74세,"19,179",734,3.83%
2017,서울특별시,은평구,전체,75~79세,"15,050","1,766",11.74%
2017,서울특별시,은평구,전체,80~84세,"8,016","1,667",20.79%
2017,서울특별시,은평구,전체,85세이상,"4,825","1,889",39.16%
2017,서울특별시,은평구,전체,60세이상,"101,792","6,560",6.44%
2017,서울특별시,은평구,전체,65세이상,"70,442","6,377",9.05%
2017,서울특별시,서대문구,전체,65~69세,"14,081",192,1.36%
2017,서울특별시,서대문구,전체,70~74세,"12,335",471,3.82%
2017,서울특별시,서대문구,전체,75~79세,"10,400","1,229",11.81%
2017,서울특별시,서대문구,전체,80~84세,"5,882","1,227",20.86%
2017,서울특별시,서대문구,전체,85세이상,"3,479","1,361",39.13%
2017,서울특별시,서대문구,전체,60세이상,"65,068","4,591",7.06%
2017,서울특별시,서대문구,전체,65세이상,"46,176","4,479",9.70%
2017,서울특별시,마포구,전체,65~69세,"14,488",196,1.35%
2017,서울특별시,마포구,전체,70~74세,"12,482",475,3.81%
2017,서울특별시,마포구,전체,75~79세,"10,147","1,197",11.80%
2017,서울특별시,마포구,전체,80~84세,"5,846","1,221",20.89%
2017,서울특별시,마포구,전체,85세이상,"3,652","1,441",39.46%
2017,서울특별시,마포구,전체,60세이상,"66,457","4,647",6.99%
2017,서울특별시,마포구,전체,65세이상,"46,614","4,531",9.72%
2017,서울특별시,양천구,전체,65~69세,"19,300",271,1.40%
2017,서울특별시,양천구,전체,70~74세,"13,466",522,3.88%
2017,서울특별시,양천구,전체,75~79세,"9,793","1,157",11.81%
2017,서울특별시,양천구,전체,80~84세,"5,776","1,221",21.14%
2017,서울특별시,양천구,전체,85세이상,"4,090","1,569",38.37%
2017,서울특별시,양천구,전체,60세이상,"80,947","4,913",6.07%
2017,서울특별시,양천구,전체,65세이상,"52,424","4,740",9.04%
2017,서울특별시,강서구,전체,65~69세,"26,523",368,1.39%
2017,서울특별시,강서구,전체,70~74세,"18,612",724,3.89%
2017,서울특별시,강서구,전체,75~79세,"13,288","1,571",11.82%
2017,서울특별시,강서구,전체,80~84세,"7,709","1,627",21.10%
2017,서울특별시,강서구,전체,85세이상,"5,670","2,177",38.40%
2017,서울특별시,강서구,전체,60세이상,"110,247","6,692",6.07%
2017,서울특별시,강서구,전체,65세이상,"71,801","6,467",9.01%
2017,서울특별시,구로구,전체,65~69세,"20,454",286,1.40%
2017,서울특별시,구로구,전체,70~74세,"15,269",595,3.90%
2017,서울특별시,구로구,전체,75~79세,"10,857","1,268",11.68%
2017,서울특별시,구로구,전체,80~84세,"5,696","1,187",20.83%
2017,서울특별시,구로구,전체,85세이상,"3,364","1,299",38.63%
2017,서울특별시,구로구,전체,60세이상,"83,435","4,799",5.75%
2017,서울특별시,구로구,전체,65세이상,"55,640","4,634",8.33%
2017,서울특별시,금천구,전체,65~69세,"11,607",162,1.40%
2017,서울특별시,금천구,전체,70~74세,"8,789",341,3.88%
2017,서울특별시,금천구,전체,75~79세,"6,353",744,11.71%
2017,서울특별시,금천구,전체,80~84세,"3,217",672,20.90%
2017,서울특별시,금천구,전체,85세이상,"1,939",749,38.62%
2017,서울특별시,금천구,전체,60세이상,"48,018","2,766",5.76%
2017,서울특별시,금천구,전체,65세이상,"31,905","2,668",8.36%
2017,서울특별시,영등포구,전체,65~69세,"17,248",240,1.39%
2017,서울특별시,영등포구,전체,70~74세,"13,276",514,3.87%
2017,서울특별시,영등포구,전체,75~79세,"10,125","1,187",11.73%
2017,서울특별시,영등포구,전체,80~84세,"5,910","1,226",20.74%
2017,서울특별시,영등포구,전체,85세이상,"3,451","1,349",39.09%
2017,서울특별시,영등포구,전체,60세이상,"73,138","4,656",6.37%
2017,서울특별시,영등포구,전체,65세이상,"50,008","4,515",9.03%
2017,서울특별시,동작구,전체,65~69세,"18,505",253,1.37%
2017,서울특별시,동작구,전체,70~74세,"14,709",567,3.85%
2017,서울특별시,동작구,전체,75~79세,"11,090","1,297",11.69%
2017,서울특별시,동작구,전체,80~84세,"6,145","1,280",20.84%
2017,서울특별시,동작구,전체,85세이상,"3,886","1,515",38.99%
2017,서울특별시,동작구,전체,60세이상,"78,820","5,056",6.41%
2017,서울특별시,동작구,전체,65세이상,"54,334","4,912",9.04%
2017,서울특별시,관악구,전체,65~69세,"23,878",329,1.38%
2017,서울특별시,관악구,전체,70~74세,"18,620",719,3.86%
2017,서울특별시,관악구,전체,75~79세,"13,508","1,571",11.63%
2017,서울특별시,관악구,전체,80~84세,"6,378","1,324",20.76%
2017,서울특별시,관악구,전체,85세이상,"3,856","1,492",38.69%
2017,서울특별시,관악구,전체,60세이상,"96,436","5,610",5.82%
2017,서울특별시,관악구,전체,65세이상,"66,238","5,435",8.20%
2017,서울특별시,서초구,전체,65~69세,"18,120",249,1.38%
2017,서울특별시,서초구,전체,70~74세,"13,763",535,3.89%
2017,서울특별시,서초구,전체,75~79세,"9,076","1,048",11.55%
2017,서울특별시,서초구,전체,80~84세,"5,111","1,058",20.71%
2017,서울특별시,서초구,전체,85세이상,"3,965","1,540",38.85%
2017,서울특별시,서초구,전체,60세이상,"75,055","4,577",6.10%
2017,서울특별시,서초구,전체,65세이상,"50,034","4,431",8.86%
2017,서울특별시,강남구,전체,65~69세,"22,503",310,1.38%
2017,서울특별시,강남구,전체,70~74세,"16,580",645,3.89%
2017,서울특별시,강남구,전체,75~79세,"10,864","1,258",11.58%
2017,서울특별시,강남구,전체,80~84세,"6,065","1,262",20.81%
2017,서울특별시,강남구,전체,85세이상,"4,963","1,907",38.42%
2017,서울특별시,강남구,전체,60세이상,"92,465","5,564",6.02%
2017,서울특별시,강남구,전체,65세이상,"60,974","5,383",8.83%
2017,서울특별시,송파구,전체,65~69세,"27,476",386,1.41%
2017,서울특별시,송파구,전체,70~74세,"18,876",737,3.90%
2017,서울특별시,송파구,전체,75~79세,"12,540","1,465",11.68%
2017,서울특별시,송파구,전체,80~84세,"7,363","1,543",20.96%
2017,서울특별시,송파구,전체,85세이상,"5,469","2,098",38.36%
2017,서울특별시,송파구,전체,60세이상,"113,212","6,476",5.72%
2017,서울특별시,송파구,전체,65세이상,"71,723","6,229",8.68%
2017,서울특별시,강동구,전체,65~69세,"20,366",286,1.40%
2017,서울특별시,강동구,전체,70~74세,"13,986",546,3.90%
2017,서울특별시,강동구,전체,75~79세,"9,416","1,100",11.68%
2017,서울특별시,강동구,전체,80~84세,"5,359","1,131",21.11%
2017,서울특별시,강동구,전체,85세이상,"4,133","1,568",37.94%
2017,서울특별시,강동구,전체,60세이상,"83,523","4,811",5.76%
2017,서울특별시,강동구,전체,65세이상,"53,258","4,630",8.69%
2017,부산광역시,부산광역시,전체,65~69세,"193,274","2,674",1.38%
2017,부산광역시,부산광역시,전체,70~74세,"140,169","5,403",3.85%
2017,부산광역시,부산광역시,전체,75~79세,"109,952","13,033",11.85%
2017,부산광역시,부산광역시,전체,80~84세,"60,675","12,778",21.06%
2017,부산광역시,부산광역시,전체,85세이상,"36,886","14,065",38.13%
2017,부산광역시,부산광역시,전체,60세이상,"804,278","49,535",6.16%
2017,부산광역시,부산광역시,전체,65세이상,"540,955","47,953",8.86%
2017,부산광역시,중구,전체,65~69세,"3,112",42,1.36%
2017,부산광역시,중구,전체,70~74세,"2,501",96,3.84%
2017,부산광역시,중구,전체,75~79세,"2,019",240,11.86%
2017,부산광역시,중구,전체,80~84세,"1,026",216,21.10%
2017,부산광역시,중구,전체,85세이상,714,274,38.34%
2017,부산광역시,중구,전체,60세이상,"13,354",892,6.68%
2017,부산광역시,중구,전체,65세이상,"9,372",868,9.26%
2017,부산광역시,서구,전체,65~69세,"7,714",106,1.38%
2017,부산광역시,서구,전체,70~74세,"6,049",232,3.83%
2017,부산광역시,서구,전체,75~79세,"5,045",601,11.92%
2017,부산광역시,서구,전체,80~84세,"2,882",606,21.03%
2017,부산광역시,서구,전체,85세이상,"1,792",683,38.10%
2017,부산광역시,서구,전체,60세이상,"32,933","2,285",6.94%
2017,부산광역시,서구,전체,65세이상,"23,481","2,228",9.49%
2017,부산광역시,동구,전체,65~69세,"6,589",90,1.37%
2017,부산광역시,동구,전체,70~74세,"5,204",199,3.82%
2017,부산광역시,동구,전체,75~79세,"4,441",530,11.94%
2017,부산광역시,동구,전체,80~84세,"2,512",528,21.04%
2017,부산광역시,동구,전체,85세이상,"1,394",540,38.75%
2017,부산광역시,동구,전체,60세이상,"28,043","1,935",6.90%
2017,부산광역시,동구,전체,65세이상,"20,138","1,888",9.38%
2017,부산광역시,영도구,전체,65~69세,"9,093",125,1.38%
2017,부산광역시,영도구,전체,70~74세,"7,225",276,3.82%
2017,부산광역시,영도구,전체,75~79세,"5,906",705,11.94%
2017,부산광역시,영도구,전체,80~84세,"3,066",646,21.08%
2017,부산광역시,영도구,전체,85세이상,"1,817",685,37.71%
2017,부산광역시,영도구,전체,60세이상,"38,502","2,506",6.51%
2017,부산광역시,영도구,전체,65세이상,"27,105","2,438",8.99%
2017,부산광역시,부산진구,전체,65~69세,"21,090",291,1.38%
2017,부산광역시,부산진구,전체,70~74세,"15,533",597,3.84%
2017,부산광역시,부산진구,전체,75~79세,"12,778","1,520",11.89%
2017,부산광역시,부산진구,전체,80~84세,"6,906","1,450",21%
2017,부산광역시,부산진구,전체,85세이상,"3,898","1,492",38.29%
2017,부산광역시,부산진구,전체,60세이상,"88,524","5,520",6.24%
2017,부산광역시,부산진구,전체,65세이상,"60,204","5,350",8.89%
2017,부산광역시,동래구,전체,65~69세,"15,155",210,1.38%
2017,부산광역시,동래구,전체,70~74세,"10,565",410,3.88%
2017,부산광역시,동래구,전체,75~79세,"7,992",941,11.78%
2017,부산광역시,동래구,전체,80~84세,"4,391",919,20.93%
2017,부산광역시,동래구,전체,85세이상,"2,705","1,037",38.34%
2017,부산광역시,동래구,전체,60세이상,"61,392","3,639",5.93%
2017,부산광역시,동래구,전체,65세이상,"40,808","3,517",8.62%
2017,부산광역시,남구,전체,65~69세,"16,341",224,1.37%
2017,부산광역시,남구,전체,70~74세,"12,492",481,3.85%
2017,부산광역시,남구,전체,75~79세,"9,438","1,110",11.76%
2017,부산광역시,남구,전체,80~84세,"4,971","1,042",20.97%
2017,부산광역시,남구,전체,85세이상,"2,883","1,097",38.06%
2017,부산광역시,남구,전체,60세이상,"67,029","4,078",6.08%
2017,부산광역시,남구,전체,65세이상,"46,123","3,955",8.57%
2017,부산광역시,북구,전체,65~69세,"14,705",206,1.40%
2017,부산광역시,북구,전체,70~74세,"10,020",387,3.86%
2017,부산광역시,북구,전체,75~79세,"7,708",917,11.90%
2017,부산광역시,북구,전체,80~84세,"4,345",923,21.23%
2017,부산광역시,북구,전체,85세이상,"2,581",969,37.54%
2017,부산광역시,북구,전체,60세이상,"61,452","3,538",5.76%
2017,부산광역시,북구,전체,65세이상,"39,359","3,401",8.64%
2017,부산광역시,해운대구,전체,65~69세,"20,097",277,1.38%
2017,부산광역시,해운대구,전체,70~74세,"14,600",561,3.84%
2017,부산광역시,해운대구,전체,75~79세,"11,789","1,402",11.89%
2017,부산광역시,해운대구,전체,80~84세,"6,869","1,448",21.08%
2017,부산광역시,해운대구,전체,85세이상,"4,189","1,605",38.32%
2017,부산광역시,해운대구,전체,60세이상,"86,046","5,464",6.35%
2017,부산광역시,해운대구,전체,65세이상,"57,544","5,292",9.20%
2017,부산광역시,사하구,전체,65~69세,"17,760",247,1.39%
2017,부산광역시,사하구,전체,70~74세,"12,401",480,3.87%
2017,부산광역시,사하구,전체,75~79세,"9,409","1,116",11.86%
2017,부산광역시,사하구,전체,80~84세,"5,039","1,066",21.15%
2017,부산광역시,사하구,전체,85세이상,"3,201","1,214",37.93%
2017,부산광역시,사하구,전체,60세이상,"73,298","4,279",5.84%
2017,부산광역시,사하구,전체,65세이상,"47,808","4,123",8.62%
2017,부산광역시,금정구,전체,65~69세,"14,281",198,1.38%
2017,부산광역시,금정구,전체,70~74세,"10,305",399,3.87%
2017,부산광역시,금정구,전체,75~79세,"8,032",949,11.82%
2017,부산광역시,금정구,전체,80~84세,"4,617",970,21.02%
2017,부산광역시,금정구,전체,85세이상,"2,824","1,081",38.28%
2017,부산광역시,금정구,전체,60세이상,"59,558","3,713",6.23%
2017,부산광역시,금정구,전체,65세이상,"40,059","3,597",8.98%
2017,부산광역시,강서구,전체,65~69세,"4,606",66,1.43%
2017,부산광역시,강서구,전체,70~74세,"3,110",122,3.91%
2017,부산광역시,강서구,전체,75~79세,"2,422",286,11.82%
2017,부산광역시,강서구,전체,80~84세,"1,380",292,21.17%
2017,부산광역시,강서구,전체,85세이상,"1,013",379,37.47%
2017,부산광역시,강서구,전체,60세이상,"19,567","1,190",6.08%
2017,부산광역시,강서구,전체,65세이상,"12,529","1,145",9.14%
2017,부산광역시,연제구,전체,65~69세,"11,716",162,1.38%
2017,부산광역시,연제구,전체,70~74세,"8,380",324,3.87%
2017,부산광역시,연제구,전체,75~79세,"6,507",764,11.74%
2017,부산광역시,연제구,전체,80~84세,"3,492",732,20.97%
2017,부산광역시,연제구,전체,85세이상,"2,091",803,38.43%
2017,부산광역시,연제구,전체,60세이상,"48,201","2,880",5.97%
2017,부산광역시,연제구,전체,65세이상,"32,184","2,785",8.65%
2017,부산광역시,수영구,전체,65~69세,"11,192",153,1.37%
2017,부산광역시,수영구,전체,70~74세,"8,157",315,3.87%
2017,부산광역시,수영구,전체,75~79세,"6,202",729,11.75%
2017,부산광역시,수영구,전체,80~84세,"3,490",731,20.93%
2017,부산광역시,수영구,전체,85세이상,"2,285",888,38.85%
2017,부산광역시,수영구,전체,60세이상,"45,963","2,900",6.31%
2017,부산광역시,수영구,전체,65세이상,"31,324","2,816",8.99%
2017,부산광역시,사상구,전체,65~69세,"12,438",174,1.40%
2017,부산광역시,사상구,전체,70~74세,"8,038",311,3.87%
2017,부산광역시,사상구,전체,75~79세,"5,946",706,11.87%
2017,부산광역시,사상구,전체,80~84세,"3,111",663,21.32%
2017,부산광역시,사상구,전체,85세이상,"1,719",642,37.33%
2017,부산광역시,사상구,전체,60세이상,"49,203","2,607",5.30%
2017,부산광역시,사상구,전체,65세이상,"31,252","2,495",7.98%
2017,부산광역시,기장군,전체,65~69세,"7,389",102,1.38%
2017,부산광역시,기장군,전체,70~74세,"5,593",215,3.85%
2017,부산광역시,기장군,전체,75~79세,"4,320",516,11.95%
2017,부산광역시,기장군,전체,80~84세,"2,583",545,21.12%
2017,부산광역시,기장군,전체,85세이상,"1,784",676,37.87%
2017,부산광역시,기장군,전체,60세이상,"31,217","2,111",6.76%
2017,부산광역시,기장군,전체,65세이상,"21,669","2,055",9.48%
2017,대구광역시,대구광역시,전체,65~69세,"115,683","1,593",1.38%
2017,대구광역시,대구광역시,전체,70~74세,"82,387","3,150",3.82%
2017,대구광역시,대구광역시,전체,75~79세,"70,322","8,384",11.92%
2017,대구광역시,대구광역시,전체,80~84세,"41,799","8,805",21.06%
2017,대구광역시,대구광역시,전체,85세이상,"24,252","9,296",38.33%
2017,대구광역시,대구광역시,전체,60세이상,"492,520","32,177",6.53%
2017,대구광역시,대구광역시,전체,65세이상,"334,442","31,228",9.34%
2017,대구광역시,중구,전체,65~69세,"4,632",63,1.35%
2017,대구광역시,중구,전체,70~74세,"3,891",148,3.81%
2017,대구광역시,중구,전체,75~79세,"3,268",388,11.86%
2017,대구광역시,중구,전체,80~84세,"1,916",400,20.91%
2017,대구광역시,중구,전체,85세이상,"1,256",483,38.46%
2017,대구광역시,중구,전체,60세이상,"20,481","1,514",7.39%
2017,대구광역시,중구,전체,65세이상,"14,962","1,482",9.91%
2017,대구광역시,동구,전체,65~69세,"19,607",270,1.38%
2017,대구광역시,동구,전체,70~74세,"14,261",545,3.82%
2017,대구광역시,동구,전체,75~79세,"12,031","1,430",11.89%
2017,대구광역시,동구,전체,80~84세,"6,922","1,454",21.01%
2017,대구광역시,동구,전체,85세이상,"3,867","1,491",38.56%
2017,대구광역시,동구,전체,60세이상,"82,016","5,340",6.51%
2017,대구광역시,동구,전체,65세이상,"56,687","5,191",9.16%
2017,대구광역시,서구,전체,65~69세,"12,256",169,1.38%
2017,대구광역시,서구,전체,70~74세,"8,512",326,3.83%
2017,대구광역시,서구,전체,75~79세,"6,955",828,11.91%
2017,대구광역시,서구,전체,80~84세,"3,731",787,21.09%
2017,대구광역시,서구,전체,85세이상,"1,997",751,37.61%
2017,대구광역시,서구,전체,60세이상,"49,695","2,956",5.95%
2017,대구광역시,서구,전체,65세이상,"33,450","2,861",8.55%
2017,대구광역시,남구,전체,65~69세,"9,790",134,1.36%
2017,대구광역시,남구,전체,70~74세,"7,386",281,3.80%
2017,대구광역시,남구,전체,75~79세,"6,512",774,11.89%
2017,대구광역시,남구,전체,80~84세,"3,960",830,20.96%
2017,대구광역시,남구,전체,85세이상,"2,365",916,38.74%
2017,대구광역시,남구,전체,60세이상,"42,282","3,006",7.11%
2017,대구광역시,남구,전체,65세이상,"30,012","2,935",9.78%
2017,대구광역시,북구,전체,65~69세,"18,195",250,1.37%
2017,대구광역시,북구,전체,70~74세,"12,959",494,3.81%
2017,대구광역시,북구,전체,75~79세,"11,281","1,344",11.92%
2017,대구광역시,북구,전체,80~84세,"6,290","1,328",21.12%
2017,대구광역시,북구,전체,85세이상,"3,475","1,320",38%
2017,대구광역시,북구,전체,60세이상,"77,207","4,890",6.33%
2017,대구광역시,북구,전체,65세이상,"52,198","4,737",9.08%
2017,대구광역시,수성구,전체,65~69세,"18,732",257,1.37%
2017,대구광역시,수성구,전체,70~74세,"13,850",530,3.83%
2017,대구광역시,수성구,전체,75~79세,"11,970","1,422",11.88%
2017,대구광역시,수성구,전체,80~84세,"7,804","1,639",21%
2017,대구광역시,수성구,전체,85세이상,"4,784","1,852",38.71%
2017,대구광역시,수성구,전체,60세이상,"83,060","5,854",7.05%
2017,대구광역시,수성구,전체,65세이상,"57,140","5,700",9.97%
2017,대구광역시,달서구,전체,65~69세,"23,542",326,1.39%
2017,대구광역시,달서구,전체,70~74세,"15,586",598,3.83%
2017,대구광역시,달서구,전체,75~79세,"13,039","1,561",11.97%
2017,대구광역시,달서구,전체,80~84세,"7,910","1,674",21.16%
2017,대구광역시,달서구,전체,85세이상,"4,511","1,725",38.24%
2017,대구광역시,달서구,전체,60세이상,"99,702","6,099",6.12%
2017,대구광역시,달서구,전체,65세이상,"64,586","5,884",9.11%
2017,대구광역시,달성군,전체,65~69세,"8,932",125,1.40%
2017,대구광역시,달성군,전체,70~74세,"5,944",228,3.84%
2017,대구광역시,달성군,전체,75~79세,"5,268",636,12.07%
2017,대구광역시,달성군,전체,80~84세,"3,268",692,21.17%
2017,대구광역시,달성군,전체,85세이상,"1,999",758,37.93%
2017,대구광역시,달성군,전체,60세이상,"38,078","2,518",6.61%
2017,대구광역시,달성군,전체,65세이상,"25,409","2,439",9.60%
2017,인천광역시,인천광역시,전체,65~69세,"110,150","1,540",1.40%
2017,인천광역시,인천광역시,전체,70~74세,"84,118","3,239",3.85%
2017,인천광역시,인천광역시,전체,75~79세,"66,594","7,927",11.90%
2017,인천광역시,인천광역시,전체,80~84세,"41,072","8,678",21.13%
2017,인천광역시,인천광역시,전체,85세이상,"28,245","10,799",38.23%
2017,인천광역시,인천광역시,전체,60세이상,"500,254","33,235",6.64%
2017,인천광역시,인천광역시,전체,65세이상,"330,178","32,183",9.75%
2017,인천광역시,중구,전체,65~69세,"5,196",72,1.39%
2017,인천광역시,중구,전체,70~74세,"4,261",165,3.88%
2017,인천광역시,중구,전체,75~79세,"3,175",376,11.83%
2017,인천광역시,중구,전체,80~84세,"1,815",380,20.95%
2017,인천광역시,중구,전체,85세이상,"1,336",517,38.72%
2017,인천광역시,중구,전체,60세이상,"23,021","1,555",6.76%
2017,인천광역시,중구,전체,65세이상,"15,782","1,510",9.57%
2017,인천광역시,동구,전체,65~69세,"3,931",54,1.37%
2017,인천광역시,동구,전체,70~74세,"3,365",129,3.84%
2017,인천광역시,동구,전체,75~79세,"2,682",318,11.87%
2017,인천광역시,동구,전체,80~84세,"1,544",329,21.28%
2017,인천광역시,동구,전체,85세이상,"1,039",402,38.70%
2017,인천광역시,동구,전체,60세이상,"17,723","1,264",7.13%
2017,인천광역시,동구,전체,65세이상,"12,560","1,232",9.81%
2017,인천광역시,남구,전체,65~69세,"19,423",269,1.39%
2017,인천광역시,남구,전체,70~74세,"15,435",595,3.86%
2017,인천광역시,남구,전체,75~79세,"11,964","1,416",11.83%
2017,인천광역시,남구,전체,80~84세,"6,791","1,428",21.03%
2017,인천광역시,남구,전체,85세이상,"4,570","1,755",38.41%
2017,인천광역시,남구,전체,60세이상,"85,644","5,629",6.57%
2017,인천광역시,남구,전체,65세이상,"58,182","5,464",9.39%
2017,인천광역시,연수구,전체,65~69세,"8,901",124,1.40%
2017,인천광역시,연수구,전체,70~74세,"6,705",258,3.85%
2017,인천광역시,연수구,전체,75~79세,"5,569",666,11.96%
2017,인천광역시,연수구,전체,80~84세,"3,667",780,21.28%
2017,인천광역시,연수구,전체,85세이상,"2,753","1,049",38.11%
2017,인천광역시,연수구,전체,60세이상,"43,338","2,979",6.87%
2017,인천광역시,연수구,전체,65세이상,"27,594","2,878",10.43%
2017,인천광역시,남동구,전체,65~69세,"19,466",272,1.40%
2017,인천광역시,남동구,전체,70~74세,"14,344",552,3.85%
2017,인천광역시,남동구,전체,75~79세,"10,804","1,287",11.91%
2017,인천광역시,남동구,전체,80~84세,"6,432","1,360",21.14%
2017,인천광역시,남동구,전체,85세이상,"4,577","1,734",37.88%
2017,인천광역시,남동구,전체,60세이상,"85,928","5,389",6.27%
2017,인천광역시,남동구,전체,65세이상,"55,622","5,205",9.36%
2017,인천광역시,부평구,전체,65~69세,"20,821",291,1.40%
2017,인천광역시,부평구,전체,70~74세,"15,433",593,3.84%
2017,인천광역시,부평구,전체,75~79세,"12,382","1,481",11.96%
2017,인천광역시,부평구,전체,80~84세,"7,755","1,640",21.15%
2017,인천광역시,부평구,전체,85세이상,"5,056","1,934",38.25%
2017,인천광역시,부평구,전체,60세이상,"93,866","6,136",6.54%
2017,인천광역시,부평구,전체,65세이상,"61,447","5,939",9.67%
2017,인천광역시,계양구,전체,65~69세,"10,228",144,1.41%
2017,인천광역시,계양구,전체,70~74세,"7,413",284,3.83%
2017,인천광역시,계양구,전체,75~79세,"6,217",746,12.01%
2017,인천광역시,계양구,전체,80~84세,"3,944",839,21.28%
2017,인천광역시,계양구,전체,85세이상,"2,604",993,38.12%
2017,인천광역시,계양구,전체,60세이상,"48,218","3,121",6.47%
2017,인천광역시,계양구,전체,65세이상,"30,405","3,006",9.89%
2017,인천광역시,서구,전체,65~69세,"15,529",218,1.41%
2017,인천광역시,서구,전체,70~74세,"11,021",425,3.86%
2017,인천광역시,서구,전체,75~79세,"8,445","1,009",11.95%
2017,인천광역시,서구,전체,80~84세,"5,328","1,131",21.23%
2017,인천광역시,서구,전체,85세이상,"3,660","1,387",37.89%
2017,인천광역시,서구,전체,60세이상,"69,428","4,331",6.24%
2017,인천광역시,서구,전체,65세이상,"43,983","4,171",9.48%
2017,인천광역시,강화군,전체,65~69세,"5,286",74,1.40%
2017,인천광역시,강화군,전체,70~74세,"4,968",192,3.87%
2017,인천광역시,강화군,전체,75~79세,"4,446",521,11.73%
2017,인천광역시,강화군,전체,80~84세,"3,147",654,20.79%
2017,인천광역시,강화군,전체,85세이상,"2,071",809,39.05%
2017,인천광역시,강화군,전체,60세이상,"26,461","2,291",8.66%
2017,인천광역시,강화군,전체,65세이상,"19,917","2,251",11.30%
2017,인천광역시,옹진군,전체,65~69세,"1,372",19,1.42%
2017,인천광역시,옹진군,전체,70~74세,"1,175",46,3.88%
2017,인천광역시,옹진군,전체,75~79세,911,107,11.72%
2017,인천광역시,옹진군,전체,80~84세,652,137,20.96%
2017,인천광역시,옹진군,전체,85세이상,580,219,37.80%
2017,인천광역시,옹진군,전체,60세이상,"6,628",540,8.15%
2017,인천광역시,옹진군,전체,65세이상,"4,689",528,11.25%
2017,광주광역시,광주광역시,전체,65~69세,"58,599",808,1.38%
2017,광주광역시,광주광역시,전체,70~74세,"44,661","1,716",3.84%
2017,광주광역시,광주광역시,전체,75~79세,"36,303","4,315",11.89%
2017,광주광역시,광주광역시,전체,80~84세,"21,191","4,470",21.09%
2017,광주광역시,광주광역시,전체,85세이상,"14,293","5,451",38.14%
2017,광주광역시,광주광역시,전체,60세이상,"250,974","17,216",6.86%
2017,광주광역시,광주광역시,전체,65세이상,"175,046","16,760",9.57%
2017,광주광역시,동구,전체,65~69세,"5,966",82,1.37%
2017,광주광역시,동구,전체,70~74세,"4,996",192,3.84%
2017,광주광역시,동구,전체,75~79세,"4,278",500,11.69%
2017,광주광역시,동구,전체,80~84세,"2,461",509,20.70%
2017,광주광역시,동구,전체,85세이상,"1,617",635,39.28%
2017,광주광역시,동구,전체,60세이상,"26,292","1,960",7.45%
2017,광주광역시,동구,전체,65세이상,"19,317","1,918",9.93%
2017,광주광역시,서구,전체,65~69세,"12,186",168,1.38%
2017,광주광역시,서구,전체,70~74세,"9,217",355,3.85%
2017,광주광역시,서구,전체,75~79세,"7,293",866,11.87%
2017,광주광역시,서구,전체,80~84세,"4,237",892,21.04%
2017,광주광역시,서구,전체,85세이상,"2,910","1,111",38.17%
2017,광주광역시,서구,전체,60세이상,"51,979","3,487",6.71%
2017,광주광역시,서구,전체,65세이상,"35,842","3,390",9.46%
2017,광주광역시,남구,전체,65~69세,"10,968",150,1.37%
2017,광주광역시,남구,전체,70~74세,"8,380",323,3.86%
2017,광주광역시,남구,전체,75~79세,"6,741",797,11.82%
2017,광주광역시,남구,전체,80~84세,"3,886",819,21.08%
2017,광주광역시,남구,전체,85세이상,"2,640","1,013",38.38%
2017,광주광역시,남구,전체,60세이상,"46,176","3,183",6.89%
2017,광주광역시,남구,전체,65세이상,"32,614","3,103",9.51%
2017,광주광역시,북구,전체,65~69세,"18,970",263,1.39%
2017,광주광역시,북구,전체,70~74세,"13,945",536,3.84%
2017,광주광역시,북구,전체,75~79세,"11,109","1,320",11.88%
2017,광주광역시,북구,전체,80~84세,"6,405","1,352",21.10%
2017,광주광역시,북구,전체,85세이상,"4,335","1,651",38.08%
2017,광주광역시,북구,전체,60세이상,"79,619","5,271",6.62%
2017,광주광역시,북구,전체,65세이상,"54,763","5,121",9.35%
2017,광주광역시,광산구,전체,65~69세,"10,510",144,1.37%
2017,광주광역시,광산구,전체,70~74세,"8,124",311,3.82%
2017,광주광역시,광산구,전체,75~79세,"6,883",832,12.09%
2017,광주광역시,광산구,전체,80~84세,"4,202",898,21.37%
2017,광주광역시,광산구,전체,85세이상,"2,793","1,042",37.32%
2017,광주광역시,광산구,전체,60세이상,"46,909","3,316",7.07%
